x,d,l
0,1347,100000
1,79,98653
2,63,98574
3,50,98512
4,41,98461
5,33,98421
6,28,98387
7,24,98359
8,22,98335
9,21,98314
10,21,98293
11,23,98272
12,28,98249
13,36,98221
14,49,98185
15,70,98136
16,99,98066
17,133,97967
18,168,97834
19,196,97666
20,214,97470
21,223,97256
22,227,97033
23,229,96806
24,231,96577
25,235,96346
26,239,96111
27,241,95873
28,242,95631
29,241,95389
30,240,95148
31,238,94908
32,237,94671
33,239,94433
34,242,94195
35,249,93952
36,257,93704
37,267,93447
38,279,93179
39,293,92900
40,307,92607
41,323,92299
42,339,91976
43,357,91637
44,375,91281
45,395,90906
46,417,90511
47,441,90094
48,469,89653
49,501,89183
50,537,88682
51,576,88145
52,619,87569
53,664,86951
54,713,86286
55,762,85573
56,813,84811
57,865,83998
58,917,83133
59,972,82216
60,1031,81244
61,1098,80213
62,1175,79115
63,1263,77940
64,1359,76677
65,1459,75318
66,1556,73859
67,1643,72303
68,1716,70660
69,1777,68944
70,1833,67167
71,1895,65334
72,1971,63439
73,2067,61468
74,2182,59401
75,2309,57219
76,2436,54910
77,2551,52474
78,2645,49923
79,2722,47278
80,2788,44557
81,2858,41769
82,2938,38911
83,3023,35973
84,3099,32950
85,3134,29850
86,3098,26717
87,2978,23618
88,2779,20640
89,2532,17861
90,15329,15329
